# it	en	es	fr	de	pt
↻ Scansiona	↻ Scan	↻ Buscar	↻ Analyser	↻ Scannen	↻ Procurar
Tutti i giochi	All games	Todos los juegos	Tous les jeux	Alle Spiele	Todos os jogos
Profilo del display selezionato	Selected display profile	Perfil de pantalla seleccionado	Profil d’écran sélectionné	Gewähltes Displayprofil	Perfil de ecrã selecionado
ESEGUIBILE DEL GIOCO · dove verranno installati i componenti	GAME EXECUTABLE · component installation location	EJECUTABLE DEL JUEGO · ubicación de los componentes	EXÉCUTABLE DU JEU · emplacement des composants	SPIEL-EXE · Installationsort der Komponenten	EXECUTÁVEL DO JOGO · localização dos componentes
Eseguibile e grafica…	Executable and graphics	Ejecutable y gráficos…	Exécutable et graphismes…	EXE und Grafik…	Executável e gráficos…
Come vuoi attivare HDR?	How would you like to enable HDR?	¿Cómo quieres activar HDR?	Comment souhaitez-vous activer le HDR ?	Wie möchtest du HDR aktivieren?	Como queres ativar o HDR?
HDR del motore · UE5	Engine HDR · UE5	HDR del motor · UE5	HDR du moteur · UE5	Engine-HDR · UE5	HDR do motor · UE5
I parametri vengono salvati per il titolo selezionato.	Parameters are saved for the selected game.	Los parámetros se guardan para el juego seleccionado.	Les paramètres sont enregistrés pour le jeu sélectionné.	Parameter werden für das gewählte Spiel gespeichert.	Os parâmetros são guardados para o jogo selecionado.
Cartella e configurazione	Folder and configuration	Carpeta y configuración	Dossier et configuration	Ordner und Konfiguration	Pasta e configuração
Cartella gioco	Game folder	Carpeta del juego	Dossier du jeu	Spielordner	Pasta do jogo
CONFIGURAZIONE	CONFIGURATION	CONFIGURACIÓN	CONFIGURATION	KONFIGURATION	CONFIGURAÇÃO
Nessuna cartella selezionata	No folder selected	Ninguna carpeta seleccionada	Aucun dossier sélectionné	Kein Ordner ausgewählt	Nenhuma pasta selecionada
Scegli cartella impostazioni…	Choose settings folder…	Elegir carpeta de ajustes…	Choisir le dossier des paramètres…	Einstellungsordner wählen…	Escolher pasta de definições…
REGOLAZIONI HDR	HDR ADJUSTMENTS	AJUSTES HDR	RÉGLAGES HDR	HDR-EINSTELLUNGEN	AJUSTES HDR
Consiglio: scegli un monitor	Tip: select a monitor	Consejo: selecciona un monitor	Conseil : sélectionnez un moniteur	Tipp: Monitor auswählen	Sugestão: seleciona um monitor
Base Unreal: 15 nit · grigio 18%	Unreal default: 15 nits · 18% gray	Base de Unreal: 15 nits · gris al 18%	Valeur Unreal : 15 nits · gris à 18 %	Unreal-Standard: 15 Nits · 18 % Grau	Base do Unreal: 15 nits · cinzento a 18%
Base: 100%	Default: 100%	Base: 100%	Valeur par défaut : 100 %	Standard: 100 %	Base: 100%
Base Unreal · consigliato	Unreal default · recommended	Base de Unreal · recomendado	Valeur Unreal · recommandée	Unreal-Standard · empfohlen	Base do Unreal · recomendado
OLED · quasi zero	OLED · near zero	OLED · casi cero	OLED · proche de zéro	OLED · nahezu null	OLED · quase zero
Personalizzato · conserva valore attuale	Custom · keep current value	Personalizado · conservar valor actual	Personnalisé · conserver la valeur actuelle	Benutzerdefiniert · aktuellen Wert beibehalten	Personalizado · manter valor atual
Applica anche questi parametri	Apply these parameters too	Aplicar también estos parámetros	Appliquer aussi ces paramètres	Diese Parameter ebenfalls anwenden	Aplicar também estes parâmetros
