▦   Libreria giochi	▦   Game library
Tutti i giochi	All games
Libreria giochi	Game library
GIOCO SELEZIONATO	SELECTED GAME
COMPONENTI INSTALLATI	INSTALLED COMPONENTS
Pronto	Ready
Attività recenti	Recent activity
Dettagli tecnici	Technical details
Seleziona un gioco	Select a game
ESeguibile	Executable
Eseguibile e grafica…	Executable and graphics
ESEGUIBILE DEL GIOCO · dove verranno installati i componenti	GAME EXECUTABLE · component installation location
Come vuoi attivare HDR?	How would you like to enable HDR?
HDR del motore · UE5	Engine HDR · UE5
HDR · ReShade e RenoDX	HDR · ReShade and RenoDX
ReShade stabile	Stable ReShade
ReShade nightly	Nightly ReShade
Installa ReShade	Install ReShade
ReShade installato · aggiorna	ReShade installed · update
RenoDX installato · aggiorna	RenoDX installed · update
Installa RenoDX	Install RenoDX
Installa / aggiorna RenoDX	Install / update RenoDX
Disinstalla ReShade	Uninstall ReShade
Pulisci ReShade	Clean up ReShade
Tasto overlay ReShade · senza modificatori	ReShade overlay key · no modifiers
Applica tasto ReShade	Apply ReShade key
Ripristina tasto ReShade	Restore ReShade key
Importa mod RenoDX locale…	Import local RenoDX mod
Importa pacchetto ReShade…	Import ReShade package
? · Compatibilità e caricamento	? · Compatibility and loading
Controlla la catena di caricamento	Review the loading chain
Applica con backup	Apply with backup
Operazione completata. Backup verificato.	Operation completed. Backup verified.
Versioni controllate online al momento dell’installazione.	Versions are checked online when installing.
Componenti rilevati per questo eseguibile. Aggiorna quelli presenti oppure aggiungi la mod RenoDX del gioco.	Components detected for this executable. Update installed components or add the game's RenoDX mod.
Giallo: canale installato verificato · Blu: scelta per il prossimo aggiornamento	Yellow: verified installed channel · Blue: choice for the next update
ReShade · non installato per questo eseguibile	ReShade · not installed for this executable
RenoDX · non installato	RenoDX · not installed
Stato letto dai file del gioco · attivazione in gioco da verificare	Status read from game files · verify activation in game
Attenzione: più loader ReShade presenti	Warning: multiple ReShade loaders detected
Installazione non eseguita: 	Installation not performed: 
ReShade · installato · 	ReShade · installed · 
Caricamento tramite OptiScaler: 	Loading through OptiScaler: 
Iniezione tramite OptiScaler · Giallo: installato / applicato · Blu: scelta da applicare	Injection through OptiScaler · Yellow: installed / applied · Blue: pending choice
Versione di OptiScaler	OptiScaler version
Qualità di elaborazione	Processing quality
Personalizza	Customize
Chi genera i fotogrammi?	Which component generates frames?
FG del gioco	Game frame generation
Disattiva OptiScaler FG	Disable OptiScaler FG
Disattiva FG OptiScaler	Disable OptiScaler FG
Moltiplicatore richiesto	Requested multiplier
Fluidità / Frame Generation	Smoothness / Frame Generation
DLL di caricamento	Loader DLL
Compatibilità e componenti	Compatibility and components
Installa OptiScaler	Install OptiScaler
Applica impostazioni	Apply settings
OptiScaler non installato	OptiScaler not installed
Pulisci Neural Rendering	Clean up Neural Rendering
Importa modello…	Import model
Pacchetto locale…	Local package
Pagina della build	Build page
Repository della build OptiScaler	OptiScaler build repository
Recupera operazione…	Recover operation
Diagnostica DLSS 5	DLSS 5 diagnostics
Cartella del gioco	Game folder
Verifica integrità Steam	Verify Steam files
Riparazione Xbox	Xbox repair
Seleziona GPU	Select GPU
Nessuna modifica applicata.	No changes applied.
Non installato	Not installed
Presente · versione non dichiarata	Present · version not declared
Presente · versione non leggibile	Present · version could not be read
File su disco · attivazione in gioco da verificare	Files on disk · verify activation in game
Lettura componenti non completata: 	Component scan incomplete: 
Neural Rendering · modello: 	Neural Rendering · model: 
Installazione e configurazione gestite da HDLSS.	Installation and configuration managed by HDLSS.
La build viene scaricata dal repository dell’autore durante l’installazione. Nessun download anticipato delle altre build.	The selected build is downloaded from its author's repository during installation. Other builds are not downloaded in advance.
Scaricamento dal repository della build selezionata.	Download from the selected build's repository.
Controlla le modifiche	Review changes
Conferma ripristino	Confirm restore
Ripristino completato	Restore completed
DLSS 5 configurato	DLSS 5 configured
DLSS 5 · operazione non completata	DLSS 5 · operation incomplete
Operazione non completata	Operation incomplete
Ho capito	OK
Annulla	Cancel
Errore	Error
Copia di recupero: 	Recovery copy: 
File previsti ripristinati o messi da parte. Per verificare gli originali del gioco usa il launcher del gioco.	The planned files have been restored or set aside. Use the game launcher to verify original game files.
